index,barrio
robledo,990
manrique central no. 1,483
san javier no.1,423
aranjuez,383
belen,376
buenos aires,372
popular,361
cabecera san cristobal,348
castilla,328
enciso,308
manrique central no. 2,270
santa cruz,255
santo domingo savio,255
cabecera san antonio,247
campo valdes no. 1,234
barrio caicedo,232
manrique oriental,231
doce de octubre no.1,202
la milagrosa,174
moravia,170
villa hermosa,169
el salvador,124
andalucia,117
pedregal,115
guayabal,114
20 de julio,90
belencito,89
la floresta,89
villatina,86
playon de los,85
granizal,78
florencia,72
picacho,70
santander,67
calasanz,65
boston,59
santa elena central,55
centro admtivo,52
san pablo,50
carpinelo,49
alfonso lopez,48
juan xxiii la quiebra,48
la francia,48
llanaditas,47
altavista,45
las palmas,44
villa del socorro,43
villa niza,43
trinidad,43
boyaca,40
girardot,38
pablo vi,37
picachito,36
olaya herrera,36
loreto,34
francisco antonio zea,34
kennedy,33
la pradera,33
santa lucia,32
prado,30
lopez de mesa,27
san diego,27
toscana,27
la candelaria,26
13 de noviembre,26
blanquizal,25
el socorro,25
tejelo,24
belalcazar,24
palmitas,24
la america,24
san jose de la cima no.,23
cordoba,23
la libertad,21
tricentenario,21
san javier no.2,21
campo valdes no. 2,20
la esperanza,20
la loma,20
sucre,17
miranda,17
la sierra,17
la avanzada,16
nuevos conquistadores,14
bombona no. 1,14
el chagualo,14
cristo rey,14
el compromiso,13
versalles no. 1,13
san german,12
antonio nariño,11
el pinal,11
palermo,11
santa rosa de lima,11
aures no. 2,10
jesus nazareno,10
villa guadalupe,10
san antonio,9
la colina,9
aguas frias,9
san benito,9
jardin botanico,8
los mangos,8
las brisas,8
el vergel,8
sevilla,8
santa monica,8
las violetas,7
el poblado,7
la cruz,7
bel¿n,7
santa ines,7
vrda. san cristobal,7
bello horizonte,7
el pesebre,6
pajarito,6
alejandro echavarria,6
juan pablo ii,6
el salado,6
eduardo santos,6
versalles no. 2,6
calasanz parte alta,6
el diamante,6
la ladera,6
zona expansion san,6
el corazon,6
el triunfo,6
san pedro,5
el rodeo,5
pedregal alto,5
ocho de marzo,5
la salle,5
campo amor,5
maria cano,4
la isla,4
cataluna,4
metropolitano,4
los cerros el vergel,3
moscu no. 1,3
santa margarita,3
las granjas,3
bosques de san pablo,3
los alcazares,3
la frontera,3
vrda. san antonio,3
san martin de porres,3
laureles,3
bombona no. 2,3
palenque,3
naranjal,3
progreso,2
la mansion,2
el rincon,2
gerona,2
fuente clara,2
la esperanza no. 2,2
san bernardo,2
el astillero,2
la oculta,2
la palma,2
rosales,2
doce de octubre no.2,2
yarumalito,2
barrio cristobal,2
la florida,2
miraflores,2
hector abad gomez,2
barrio colon,2
san josé de la montaña,2
las esmeraldas,2
el progreso no.2,2
caribe,2
la loma oriental,2
suburbano altavista,2
santa teresita,2
la cuchilla,1
san joaquin,1
la hondonada,1
la aldea,1
oriente,1
parque norte,1
santa fe,1
altamira,1
veinte de julio,1
vrda. santa elena,1
la volcana y guayabal,1
granada,1
manila,1
barrio colombia,1
universidad de,1
monteclaro,1
moscu no. 2,1
brasilia,1
el estadio,1
los angeles,1
vrda. palmitas,1
san isidro,1
villa flora,1
barro blanco,1
santa maria de los,1
el raizal,1
suburbano santa elena,1
sin barrio,1
betania,1
oleoducto,1
aures no.1,1
las independencias,1
loma de los bernal,1
villa liliam,1
suburbano barro,1
villa nueva,1
la aguacatala,1
el llano,1
antonio nari¿o,1
travesias,1
florida nueva,1
campo alegre,1
miravalle,1
barrio de jesus,1
fatima,1
carlos e. restrepo,1
villa turbay,1
mirador del doce,1
